Variable,MAE_Test,RMSE_Test,MAPE_Test,R2_Test
Demanda_Total_MBTUD,21593.769477739726,39117.184307751726,1.9865563519111866,0.9071931164441988
Demanda_Costa_Total_MBTUD,19404.712542808218,40440.30051232446,3.799742775133378,0.8257250713903523
Demanda_Interior_Total_MBTUD,11047.09321489726,14146.939356092635,1.932930317747368,0.8683681098703048
Demanda_Industrial_Total_MBTUD,3347.9622752568494,4340.677266099788,1.4283418196537303,0.912453279918481
Demanda_Refineria_Total_MBTUD,2003.1800353167807,4162.061463853751,1.6631577812015352,0.8710294158053987
Demanda_Petrolero_Total_MBTUD,1457.316024989298,1775.445166819063,3.4934396101445353,0.8349337419037508
Demanda_GeneracionTermica_Total_MBTUD,22398.821543236303,51335.10146672674,5.6855826109301235,0.8097996208732873
Demanda_Residencial_Total_MBTUD,1019.1945633561644,1646.6649297318936,0.5852496076101918,0.9609163981430803
Demanda_Comercial_Total_MBTUD,10511.569135273972,12070.600212866888,16.381180565492535,-2.0354737370444917
Demanda_GNVC_Total_MBTUD,1176.2638992936643,1370.2175804477006,1.8415969958499547,0.9170581195730625
Demanda_Compresora_Total_MBTUD,311.80388150149827,461.4639971853846,5.90306222918537,0.9688036657958637
